to_act_card,opponent_card,to_act_coins,opponent_coins,phase,pending_action,pending_action_by,pending_block,pending_block_by,result,dtm,best_moves
Assassin,Assassin,0,0,ACTION,,,,,win,11,Income|Foreign Aid
Assassin,Assassin,0,0,BLOCK,Foreign Aid,opponent,,,loss,10,pass
Assassin,Assassin,0,1,ACTION,,,,,loss,10,Foreign Aid
Assassin,Assassin,0,2,ACTION,,,,,loss,9,Foreign Aid
Assassin,Assassin,1,0,BLOCK,Foreign Aid,opponent,,,win,9,pass
Assassin,Assassin,1,1,ACTION,,,,,win,8,Foreign Aid
Assassin,Assassin,1,1,BLOCK,Foreign Aid,opponent,,,loss,7,pass
Assassin,Assassin,1,2,ACTION,,,,,win,8,Foreign Aid
Assassin,Assassin,1,2,BLOCK,Foreign Aid,opponent,,,loss,7,pass
Assassin,Assassin,1,3,ACTION,,,,,loss,6,Foreign Aid
Assassin,Assassin,1,4,ACTION,,,,,loss,6,Foreign Aid
Assassin,Assassin,2,0,ACTION_CHALLENGE,Assassinate,opponent,,,loss,3,pass
Assassin,Assassin,2,0,BLOCK,Assassinate,opponent,,,loss,2,pass
Assassin,Assassin,2,0,BLOCK,Foreign Aid,opponent,,,win,8,pass
Assassin,Assassin,2,0,LOSE_INFLUENCE,Assassinate,opponent,,,loss,1,reveal Assassin
Assassin,Assassin,2,1,ACTION,,,,,win,7,Income
Assassin,Assassin,2,1,ACTION_CHALLENGE,Assassinate,opponent,,,loss,3,pass
Assassin,Assassin,2,1,BLOCK,Assassinate,opponent,,,loss,2,pass
Assassin,Assassin,2,1,BLOCK,Foreign Aid,opponent,,,loss,7,pass
Assassin,Assassin,2,1,LOSE_INFLUENCE,Assassinate,opponent,,,loss,1,reveal Assassin
Assassin,Assassin,2,2,ACTION,,,,,win,7,Income
Assassin,Assassin,2,2,BLOCK,Foreign Aid,opponent,,,loss,7,pass
Assassin,Assassin,2,3,ACTION,,,,,loss,6,Foreign Aid
Assassin,Assassin,2,3,BLOCK,Foreign Aid,opponent,,,loss,7,pass
Assassin,Assassin,2,4,ACTION,,,,,loss,6,Foreign Aid
Assassin,Assassin,2,4,BLOCK,Foreign Aid,opponent,,,loss,7,pass
Assassin,Assassin,2,5,ACTION,,,,,loss,6,Foreign Aid
Assassin,Assassin,2,6,ACTION,,,,,loss,6,Foreign Aid
Assassin,Assassin,3,0,ACTION_CHALLENGE,Assassinate,opponent,,,loss,3,pass
Assassin,Assassin,3,0,BLOCK,Assassinate,opponent,,,loss,2,pass
Assassin,Assassin,3,0,LOSE_INFLUENCE,Assassinate,opponent,,,loss,1,reveal Assassin
Assassin,Assassin,3,1,ACTION_CHALLENGE,Assassinate,opponent,,,loss,3,pass
Assassin,Assassin,3,1,BLOCK,Assassinate,opponent,,,loss,2,pass
Assassin,Assassin,3,1,BLOCK,Foreign Aid,opponent,,,win,5,pass
Assassin,Assassin,3,1,LOSE_INFLUENCE,Assassinate,opponent,,,loss,1,reveal Assassin
Assassin,Assassin,3,2,ACTION,,,,,win,4,Assassinate
Assassin,Assassin,3,2,ACTION_CHALLENGE,Assassinate,opponent,,,loss,3,pass
Assassin,Assassin,3,2,BLOCK,Assassinate,opponent,,,loss,2,pass
Assassin,Assassin,3,2,BLOCK,Foreign Aid,opponent,,,win,5,pass
Assassin,Assassin,3,2,LOSE_INFLUENCE,Assassinate,opponent,,,loss,1,reveal Assassin
Assassin,Assassin,3,3,ACTION,,,,,win,4,Assassinate
Assassin,Assassin,3,3,ACTION_CHALLENGE,Assassinate,opponent,,,loss,3,pass
Assassin,Assassin,3,3,BLOCK,Assassinate,opponent,,,loss,2,pass
Assassin,Assassin,3,3,BLOCK,Foreign Aid,opponent,,,win,5,pass
Assassin,Assassin,3,3,LOSE_INFLUENCE,Assassinate,opponent,,,loss,1,reveal Assassin
Assassin,Assassin,3,4,ACTION,,,,,win,4,Assassinate
Assassin,Assassin,3,4,BLOCK,Foreign Aid,opponent,,,win,5,pass
Assassin,Assassin,3,5,ACTION,,,,,win,4,Assassinate
Assassin,Assassin,3,5,BLOCK,Foreign Aid,opponent,,,win,5,pass
Assassin,Assassin,3,6,ACTION,,,,,win,4,Assassinate
Assassin,Assassin,3,6,BLOCK,Foreign Aid,opponent,,,win,5,pass
Assassin,Assassin,3,7,ACTION,,,,,win,4,Assassinate
Assassin,Assassin,3,8,ACTION,,,,,win,4,Assassinate
Assassin,Assassin,4,0,ACTION_CHALLENGE,Assassinate,opponent,,,loss,3,pass
Assassin,Assassin,4,0,BLOCK,Assassinate,opponent,,,loss,2,pass
Assassin,Assassin,4,0,LOSE_INFLUENCE,Assassinate,opponent,,,loss,1,reveal Assassin
Assassin,Assassin,4,0,LOSE_INFLUENCE,Coup,opponent,,,loss,1,reveal Assassin
Assassin,Assassin,4,1,ACTION_CHALLENGE,Assassinate,opponent,,,loss,3,pass
Assassin,Assassin,4,1,BLOCK,Assassinate,opponent,,,loss,2,pass
Assassin,Assassin,4,1,BLOCK,Foreign Aid,opponent,,,win,5,pass
Assassin,Assassin,4,1,LOSE_INFLUENCE,Assassinate,opponent,,,loss,1,reveal Assassin
Assassin,Assassin,4,1,LOSE_INFLUENCE,Coup,opponent,,,loss,1,reveal Assassin
Assassin,Assassin,4,2,ACTION,,,,,win,4,Assassinate
Assassin,Assassin,4,2,ACTION_CHALLENGE,Assassinate,opponent,,,loss,3,pass
Assassin,Assassin,4,2,BLOCK,Assassinate,opponent,,,loss,2,pass
Assassin,Assassin,4,2,BLOCK,Foreign Aid,opponent,,,win,5,pass
Assassin,Assassin,4,2,LOSE_INFLUENCE,Assassinate,opponent,,,loss,1,reveal Assassin
Assassin,Assassin,4,3,ACTION,,,,,win,4,Assassinate
Assassin,Assassin,4,3,ACTION_CHALLENGE,Assassinate,opponent,,,loss,3,pass
Assassin,Assassin,4,3,BLOCK,Assassinate,opponent,,,loss,2,pass
Assassin,Assassin,4,3,BLOCK,Foreign Aid,opponent,,,win,5,pass
Assassin,Assassin,4,3,LOSE_INFLUENCE,Assassinate,opponent,,,loss,1,reveal Assassin
Assassin,Assassin,4,4,ACTION,,,,,win,4,Assassinate
Assassin,Assassin,4,4,ACTION_CHALLENGE,Assassinate,opponent,,,loss,3,pass
Assassin,Assassin,4,4,BLOCK,Assassinate,opponent,,,loss,2,pass
Assassin,Assassin,4,4,BLOCK,Foreign Aid,opponent,,,win,5,pass
Assassin,Assassin,4,4,LOSE_INFLUENCE,Assassinate,opponent,,,loss,1,reveal Assassin
Assassin,Assassin,4,5,ACTION,,,,,win,4,Assassinate
Assassin,Assassin,4,5,ACTION_CHALLENGE,Assassinate,opponent,,,loss,3,pass
Assassin,Assassin,4,5,BLOCK,Assassinate,opponent,,,loss,2,pass
Assassin,Assassin,4,5,BLOCK,Foreign Aid,opponent,,,win,5,pass
Assassin,Assassin,4,5,LOSE_INFLUENCE,Assassinate,opponent,,,loss,1,reveal Assassin
Assassin,Assassin,4,6,ACTION,,,,,win,4,Assassinate
Assassin,Assassin,4,6,BLOCK,Foreign Aid,opponent,,,win,5,pass
Assassin,Assassin,4,7,ACTION,,,,,win,4,Assassinate
Assassin,Assassin,4,7,BLOCK,Foreign Aid,opponent,,,win,5,pass
Assassin,Assassin,4,8,ACTION,,,,,win,4,Assassinate
Assassin,Assassin,4,8,BLOCK,Foreign Aid,opponent,,,win,5,pass
Assassin,Assassin,4,9,ACTION,,,,,win,4,Assassinate
Assassin,Assassin,4,10,ACTION,,,,,win,4,Assassinate
Assassin,Assassin,5,0,ACTION_CHALLENGE,Assassinate,opponent,,,loss,3,pass
Assassin,Assassin,5,0,BLOCK,Assassinate,opponent,,,loss,2,pass
Assassin,Assassin,5,0,LOSE_INFLUENCE,Assassinate,opponent,,,loss,1,reveal Assassin
Assassin,Assassin,5,0,LOSE_INFLUENCE,Coup,opponent,,,loss,1,reveal Assassin
Assassin,Assassin,5,1,ACTION_CHALLENGE,Assassinate,opponent,,,loss,3,pass
Assassin,Assassin,5,1,BLOCK,Assassinate,opponent,,,loss,2,pass
Assassin,Assassin,5,1,LOSE_INFLUENCE,Assassinate,opponent,,,loss,1,reveal Assassin
Assassin,Assassin,5,1,LOSE_INFLUENCE,Coup,opponent,,,loss,1,reveal Assassin
Assassin,Assassin,5,2,ACTION_CHALLENGE,Assassinate,opponent,,,loss,3,pass
Assassin,Assassin,5,2,BLOCK,Assassinate,opponent,,,loss,2,pass
Assassin,Assassin,5,2,BLOCK,Foreign Aid,opponent,,,win,5,pass
Assassin,Assassin,5,2,LOSE_INFLUENCE,Assassinate,opponent,,,loss,1,reveal Assassin
Assassin,Assassin,5,2,LOSE_INFLUENCE,Coup,opponent,,,loss,1,reveal Assassin
Assassin,Assassin,5,3,ACTION,,,,,win,4,Assassinate
Assassin,Assassin,5,3,ACTION_CHALLENGE,Assassinate,opponent,,,loss,3,pass
Assassin,Assassin,5,3,BLOCK,Assassinate,opponent,,,loss,2,pass
Assassin,Assassin,5,3,BLOCK,Foreign Aid,opponent,,,win,5,pass
Assassin,Assassin,5,3,LOSE_INFLUENCE,Assassinate,opponent,,,loss,1,reveal Assassin
Assassin,Assassin,5,3,LOSE_INFLUENCE,Coup,opponent,,,loss,1,reveal Assassin
Assassin,Assassin,5,4,ACTION,,,,,win,4,Assassinate
Assassin,Assassin,5,4,ACTION_CHALLENGE,Assassinate,opponent,,,loss,3,pass
Assassin,Assassin,5,4,BLOCK,Assassinate,opponent,,,loss,2,pass
Assassin,Assassin,5,4,BLOCK,Foreign Aid,opponent,,,win,5,pass
Assassin,Assassin,5,4,LOSE_INFLUENCE,Assassinate,opponent,,,loss,1,reveal Assassin
Assassin,Assassin,5,5,ACTION,,,,,win,4,Assassinate
Assassin,Assassin,5,5,ACTION_CHALLENGE,Assassinate,opponent,,,loss,3,pass
Assassin,Assassin,5,5,BLOCK,Assassinate,opponent,,,loss,2,pass
Assassin,Assassin,5,5,BLOCK,Foreign Aid,opponent,,,win,5,pass
Assassin,Assassin,5,5,LOSE_INFLUENCE,Assassinate,opponent,,,loss,1,reveal Assassin
Assassin,Assassin,5,6,ACTION,,,,,win,4,Assassinate
Assassin,Assassin,5,6,ACTION_CHALLENGE,Assassinate,opponent,,,loss,3,pass
Assassin,Assassin,5,6,BLOCK,Assassinate,opponent,,,loss,2,pass
Assassin,Assassin,5,6,BLOCK,Foreign Aid,opponent,,,win,5,pass
Assassin,Assassin,5,6,LOSE_INFLUENCE,Assassinate,opponent,,,loss,1,reveal Assassin
Assassin,Assassin,5,7,ACTION,,,,,win,4,Assassinate
Assassin,Assassin,5,7,BLOCK,Foreign Aid,opponent,,,win,5,pass
Assassin,Assassin,5,8,ACTION,,,,,win,4,Assassinate
Assassin,Assassin,5,8,BLOCK,Foreign Aid,opponent,,,win,5,pass
Assassin,Assassin,5,9,ACTION,,,,,win,4,Assassinate
Assassin,Assassin,5,9,BLOCK,Foreign Aid,opponent,,,win,5,pass
Assassin,Assassin,5,10,ACTION,,,,,win,4,Assassinate
Assassin,Assassin,5,11,ACTION,,,,,win,4,Assassinate
Assassin,Assassin,6,0,ACTION_CHALLENGE,Assassinate,opponent,,,loss,3,pass
Assassin,Assassin,6,0,BLOCK,Assassinate,opponent,,,loss,2,pass
Assassin,Assassin,6,0,LOSE_INFLUENCE,Assassinate,opponent,,,loss,1,reveal Assassin
Assassin,Assassin,6,0,LOSE_INFLUENCE,Coup,opponent,,,loss,1,reveal Assassin
Assassin,Assassin,6,1,ACTION_CHALLENGE,Assassinate,opponent,,,loss,3,pass
Assassin,Assassin,6,1,BLOCK,Assassinate,opponent,,,loss,2,pass
Assassin,Assassin,6,1,LOSE_INFLUENCE,Assassinate,opponent,,,loss,1,reveal Assassin
Assassin,Assassin,6,1,LOSE_INFLUENCE,Coup,opponent,,,loss,1,reveal Assassin
Assassin,Assassin,6,2,ACTION_CHALLENGE,Assassinate,opponent,,,loss,3,pass
Assassin,Assassin,6,2,BLOCK,Assassinate,opponent,,,loss,2,pass
Assassin,Assassin,6,2,BLOCK,Foreign Aid,opponent,,,win,5,pass
Assassin,Assassin,6,2,LOSE_INFLUENCE,Assassinate,opponent,,,loss,1,reveal Assassin
Assassin,Assassin,6,2,LOSE_INFLUENCE,Coup,opponent,,,loss,1,reveal Assassin
Assassin,Assassin,6,3,ACTION,,,,,win,4,Assassinate
Assassin,Assassin,6,3,ACTION_CHALLENGE,Assassinate,opponent,,,loss,3,pass
Assassin,Assassin,6,3,BLOCK,Assassinate,opponent,,,loss,2,pass
Assassin,Assassin,6,3,BLOCK,Foreign Aid,opponent,,,win,5,pass
Assassin,Assassin,6,3,LOSE_INFLUENCE,Assassinate,opponent,,,loss,1,reveal Assassin
Assassin,Assassin,6,3,LOSE_INFLUENCE,Coup,opponent,,,loss,1,reveal Assassin
Assassin,Assassin,6,4,ACTION,,,,,win,4,Assassinate
Assassin,Assassin,6,4,ACTION_CHALLENGE,Assassinate,opponent,,,loss,3,pass
Assassin,Assassin,6,4,BLOCK,Assassinate,opponent,,,loss,2,pass
Assassin,Assassin,6,4,BLOCK,Foreign Aid,opponent,,,win,5,pass
Assassin,Assassin,6,4,LOSE_INFLUENCE,Assassinate,opponent,,,loss,1,reveal Assassin
Assassin,Assassin,6,4,LOSE_INFLUENCE,Coup,opponent,,,loss,1,reveal Assassin
Assassin,Assassin,6,5,ACTION,,,,,win,4,Assassinate
Assassin,Assassin,6,5,ACTION_CHALLENGE,Assassinate,opponent,,,loss,3,pass
Assassin,Assassin,6,5,BLOCK,Assassinate,opponent,,,loss,2,pass
Assassin,Assassin,6,5,BLOCK,Foreign Aid,opponent,,,win,5,pass
Assassin,Assassin,6,5,LOSE_INFLUENCE,Assassinate,opponent,,,loss,1,reveal Assassin
Assassin,Assassin,6,6,ACTION,,,,,win,4,Assassinate
Assassin,Assassin,6,6,ACTION_CHALLENGE,Assassinate,opponent,,,loss,3,pass
Assassin,Assassin,6,6,BLOCK,Assassinate,opponent,,,loss,2,pass
Assassin,Assassin,6,6,BLOCK,Foreign Aid,opponent,,,win,5,pass
Assassin,Assassin,6,6,LOSE_INFLUENCE,Assassinate,opponent,,,loss,1,reveal Assassin
Assassin,Assassin,6,7,ACTION,,,,,win,4,Assassinate
Assassin,Assassin,6,7,BLOCK,Foreign Aid,opponent,,,win,5,pass
